조건별분석,,,,,,,,,
[검색조건],,,,,,,,,
,분류: 지상,,,,,,,,
,요소 : 바람,,,,,,,,
,검색구분 : 일,,,,,,,,
,지역/지점명 : 성산,,,,,,,,
,기간 : 2022 ~ 2022년 01 ~ 12월 01 ~ 31일,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속시각",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속시각"
"		188",성산,2022-01-01,3,8.4,270,9:27,12.4,290,9:21
"		188",성산,2022-01-02,2.3,5.2,290,11:22,8.4,360,17:28
"		188",성산,2022-01-03,2.6,5,270,15:44,9.9,290,15:41
"		188",성산,2022-01-04,2.7,5.2,320,21:24,10.5,50,14:06
"		188",성산,2022-01-05,2.3,4.9,50,7:14,11,320,0:15
"		188",성산,2022-01-06,2.9,5.5,290,12:15,12.8,290,14:55
"		188",성산,2022-01-07,2.5,4.8,290,15:56,10.2,160,0:02
"		188",성산,2022-01-08,3.2,7.2,290,16:15,11.7,270,16:12
"		188",성산,2022-01-09,2.5,5,50,11:34,9.5,290,15:11
"		188",성산,2022-01-10,2.8,6.1,270,21:27,9.7,290,21:56
"		188",성산,2022-01-11,3.3,6.4,290,15:01,16.9,320,9:12
"		188",성산,2022-01-12,3.2,6.4,290,15:37,11.7,290,15:06
"		188",성산,2022-01-13,3.4,7.7,270,7:58,16.4,70,12:48
"		188",성산,2022-01-14,3.1,6.6,20,11:10,12.1,50,11:15
"		188",성산,2022-01-15,2,4.4,270,14:07,8.1,90,12:39
"		188",성산,2022-01-16,3.2,8.2,290,14:19,15,320,12:48
"		188",성산,2022-01-17,2.8,8,290,13:23,11.8,320,12:03
"		188",성산,2022-01-18,3.1,6.4,50,9:50,12,90,4:13
"		188",성산,2022-01-19,2.4,5.2,340,13:16,11.1,140,13:16
"		188",성산,2022-01-20,3.4,5.8,180,13:17,12.3,90,13:12
"		188",성산,2022-01-21,3.3,5,320,4:20,9.3,90,21:58
"		188",성산,2022-01-22,4.1,6.1,110,12:29,9.1,110,11:15
"		188",성산,2022-01-23,3.5,5,50,13:33,9,50,11:49
"		188",성산,2022-01-24,4.2,7,70,12:12,12.5,70,12:08
"		188",성산,2022-01-25,1.9,4,50,0:13,8.3,50,0:57
"		188",성산,2022-01-26,3,6.7,110,9:56,11.7,70,11:44
"		188",성산,2022-01-27,3.2,6.2,290,17:05,11.5,290,16:56
"		188",성산,2022-01-28,4,6.5,230,15:50,14.2,320,9:29
"		188",성산,2022-01-29,3.4,6.4,320,18:13,13.1,320,15:55
"		188",성산,2022-01-30,3.5,7.9,270,16:21,12.7,290,12:41
"		188",성산,2022-01-31,2.8,6.3,270,21:11,12.5,20,10:33
"		188",성산,2022-02-01,3.2,8.8,290,14:29,15.5,290,13:03
"		188",성산,2022-02-02,3,6,270,16:59,11.6,270,15:31
"		188",성산,2022-02-03,3.1,7.6,70,12:31,13.4,160,13:06
"		188",성산,2022-02-04,3.2,6.3,320,12:18,13.5,320,13:27
"		188",성산,2022-02-05,3.1,6.7,290,10:52,15.2,290,12:24
"		188",성산,2022-02-06,3,7.7,290,13:56,11.7,270,14:13
"		188",성산,2022-02-07,2.5,5.8,90,14:48,10.5,160,11:55
"		188",성산,2022-02-08,2.7,6.9,90,15:19,12.2,320,15:01
"		188",성산,2022-02-09,3,5.5,50,15:02,8.2,110,9:48
"		188",성산,2022-02-10,3,7.9,270,13:17,13.9,320,12:31
"		188",성산,2022-02-11,2.8,5.1,320,8:07,8.7,290,13:13
"		188",성산,2022-02-12,2.4,4.4,70,13:43,7.6,50,12:15
"		188",성산,2022-02-13,3,6.1,50,10:45,10.4,50,10:41
"		188",성산,2022-02-14,2.8,7.7,270,20:43,12.9,290,20:23
"		188",성산,2022-02-15,4.2,9.1,270,14:34,15.2,290,17:00
"		188",성산,2022-02-16,3.7,8.3,290,14:00,16.3,320,16:28
"		188",성산,2022-02-17,3.3,5.8,90,10:53,12.7,160,12:32
"		188",성산,2022-02-18,3.1,5.5,90,14:31,9.4,90,12:43
"		188",성산,2022-02-19,2.9,6.2,250,14:30,13.6,320,13:49
"		188",성산,2022-02-20,3.6,7.5,140,12:52,16.4,90,12:51
"		188",성산,2022-02-21,2.5,6.6,290,15:24,10.2,290,15:19
"		188",성산,2022-02-22,2.3,4.9,20,9:56,11.7,320,14:51
"		188",성산,2022-02-23,3.4,7.2,290,16:54,14.6,320,15:38
"		188",성산,2022-02-24,3.6,7.7,270,15:49,14,290,13:55
"		188",성산,2022-02-25,2.8,5,290,11:22,9.2,290,10:57
"		188",성산,2022-02-26,3.4,7.9,230,16:00,12.6,200,16:27
"		188",성산,2022-02-27,2.8,6.1,290,0:03,12.5,320,0:03
"		188",성산,2022-02-28,2.3,4.9,200,14:19,6.9,200,13:06
"		188",성산,2022-03-01,5,9.7,270,19:14,15.6,320,8:51
"		188",성산,2022-03-02,5,9.3,290,16:37,15.6,290,0:37
"		188",성산,2022-03-03,2.3,4.9,320,1:52,7.5,290,1:18
"		188",성산,2022-03-04,4,9.1,180,13:23,12.4,180,13:37
"		188",성산,2022-03-05,3.7,9.1,270,14:26,16.4,320,14:21
"		188",성산,2022-03-06,3.5,6.5,320,15:20,12.3,50,8:14
"		188",성산,2022-03-07,2.6,5.1,290,19:39,8.5,320,21:04
"		188",성산,2022-03-08,2.1,5.5,320,3:45,8.5,50,13:43
"		188",성산,2022-03-09,2.3,5.8,290,9:07,10.7,320,10:14
"		188",성산,2022-03-10,2.5,5.8,200,15:12,9.4,200,15:04
"		188",성산,2022-03-11,3.4,6.9,230,13:10,10.4,180,12:42
"		188",성산,2022-03-12,3.7,7.6,230,14:34,11.5,230,14:58
"		188",성산,2022-03-13,4.2,7.9,230,8:13,13,180,13:00
